Company_Name,Symbol,Industry,Twitter_handle,Logo,Low,Open,High,Close,Volume
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,SERVICES,@Adaniports,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Adani_Ports_Logo.svg/330px-Adani_Ports_Logo.svg.png,730.5,752.45,761,748.95,17660990
Asian Paints Ltd.,ASIANPAINT,CONSUMER GOODS,@asianpaints,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Asian_paints_logo.svg/375px-Asian_paints_logo.svg.png,2377.1,2399,2423.9,2387.1,1953113
Axis Bank Ltd.,AXISBANK,FINANCIAL SERVICES,@AxisBank,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/AXISBank_Logo.svg/330px-AXISBank_Logo.svg.png,720.5,732,744.1,730.75,16356291
Bajaj Auto Ltd.,BAJAJ-AUTO,AUTOMOBILE,@bajaj_ltd,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Bajaj_auto_logo.svg/330px-Bajaj_auto_logo.svg.png,3821.75,3852.1,3913.25,3852.85,719736
Bajaj Finance Ltd.,BAJFINANCE,FINANCIAL SERVICES,@Bajaj_Finance,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Bajaj_Finserv_Logo.svg/330px-Bajaj_Finserv_Logo.svg.png,5402.1,5440,5519.75,5444.9,2075479
Bharat Petroleum Corporation Ltd.,BPCL,OIL & GAS,@BPCLimited,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Bharat_Petroleum_Logo.svg/375px-Bharat_Petroleum_Logo.svg.png,458.1,463,474.45,461.8,8895125
Bharti Airtel Ltd.,BHARTIARTL,TELECOM,@airtelindia,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Airtel_logo.svg/330px-Airtel_logo.svg.png,524.4,535,538.5,532.8,16345324
Britannia Industries Ltd.,BRITANNIA,CONSUMER GOODS,@BritanniaIndLtd,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Britannia_Industries_logo.svg/330px-Britannia_Industries_logo.svg.png,3460.75,3486,3506.65,3491.75,612326
Cipla Ltd.,CIPLA,PHARMA,@Cipla_Global,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Cipla_logo.svg/375px-Cipla_logo.svg.png,800.25,806.5,812,805.15,3831771
Coal India Ltd.,COALINDIA,METALS,@CoalIndiaHQ,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Coal_India_Logo.svg/330px-Coal_India_Logo.svg.png,149.7,152,152.7,151.1,17312865
Divi's Laboratories Ltd.,DIVISLAB,PHARMA,nan,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Divi%27s_Laboratories_Logo.svg/375px-Divi%27s_Laboratories_Logo.svg.png,3490,3518,3550,3496.9,390613
